fund_long_name,initial_investment,fund_category,management_name
Fidelity Europe Fund,1000000,Small Value,Andrew Sergeant
Fidelity Advisor Founders Fund Class C,1000000,Target-Date 2040,Daniel E. Kelley
Franklin Growth Series Class R6,1000000,Target-Date 2040,Robert Rendler
Fidelity Advisor Founders Fund Class Z,1000000,Target-Date 2045,Daniel E. Kelley
Fidelity Series Bond Index Fund,1000000,Target-Date 2045,Richard Munclinger
Delaware International Fund Institutional Class,1000000,Long-Short Equity,Klaus Saustrup Petersen
Delaware International Fund Class R6,1000000,Long-Short Equity,Klaus Saustrup Petersen
Fidelity Advisor Freedom 2010 Fund Class Z,1000000,Allocation--15% to 30% Equity,Andrew F. Dierdorf
Fidelity Advisor Freedom 2015 Fund Class Z,1000000,Allocation--15% to 30% Equity,Andrew F. Dierdorf
Fidelity Advisor Freedom 2040 Fund Class Z,1000000,Allocation--85%+ Equity,Andrew F. Dierdorf
Fidelity Advisor Consumer Discretionary Fund Class Z,1000000,Allocation--50% to 70% Equity,Katherine Shaw
Fidelity Advisor Financial Services Fund Class Z,1000000,Allocation--50% to 70% Equity,Matt Reed
Fidelity Advisor Industrials Fund Class Z,1000000,Allocation--85%+ Equity,Janet Glazer
Fidelity Advisor Small Cap Value Fund Class Z,1000000,Large Value,Derek Janssen
Fidelity Advisor Corporate Bond Fund Class Z,1000000,Large Value,David Prothro
Fidelity Advisor Emerging Markets Discovery Fund Class Z,1000000,High Yield Muni,Priyanshu Bakshi
Fidelity Advisor International Real Estate Fund Class A,1000000,Diversified Emerging Mkts,Guillermo de las Casas
Fidelity Advisor International Real Estate Fund Class C,1000000,Foreign Small/Mid Value,Guillermo de las Casas
Fidelity International Real Estate Fund,1000000,Mid-Cap Value,Guillermo de las Casas
Fidelity Advisor Managed Retirement 2025 Fund Class I,1000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Advisor International Real Estate Fund Class I,1000000,Small Value,Guillermo de las Casas
Fidelity Simplicity RMD Income Fund,1000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Managed Retirement 2015 Fund,1000000,Foreign Large Value,Andrew F. Dierdorf
Fidelity Advisor Limited Term Municipal Income Fund Class I,1000000,Foreign Large Value,Elizah McLaughlin
American Century Strategic Allocation: Aggressive Fund R6 Class,1000000,Small Value,Scott A. Wilson
Cavanal Hill Active Core Fund Class A,1000000,Large Blend,Brandon C. Barnes
American Century One Choice Blend+ 2025 Portfolio Investor Class,1000000,Intermediate Core-Plus Bond,Scott A. Wilson
American Century One Choice Blend+ 2030 Portfolio Investor Class,1000000,Multistrategy,Scott A. Wilson
American Century Strategic Allocation: Conservative Fund R6 Class,1000000,Large Value,Scott A. Wilson
American Century Strategic Allocation: Conservative Fund R5 Class,1000000,Diversified Emerging Mkts,Scott A. Wilson
American Century One Choice Blend+ 2035 Portfolio Investor Class,1000000,Foreign Large Value,Scott A. Wilson
Cavanal Hill Opportunistic Fund Class C,1000000,Large Blend,Brandon R. Barnes
American Funds 2020 Target Date Retirement Fund Class A,1000000,Macro Trading,Wesley K.-S. Phoa
American Century One Choice Blend+ 2040 Portfolio R Class,1000000,World Allocation,Scott A. Wilson
Invesco Select Risk: Growth Investor Fund Class C,1000000,Large Blend,Jeffrey Bennett
American Beacon Large Cap Value Fund R5 Class,1000000,Allocation--50% to 70% Equity,George Davis
American Century One Choice Blend+ 2045 Portfolio Investor Class,1000000,Foreign Large Blend,Scott A. Wilson
American Century One Choice Blend+ 2045 Portfolio I Class,1000000,Large Growth,Scott A. Wilson
American Century One Choice Blend+ 2050 Portfolio A Class,1000000,Small Blend,Scott A. Wilson
Invesco Select Risk: Growth Investor Fund Class R,1000000,Small Growth,Jeffrey Bennett
American Funds 2025 Target Date Retirement Fund Class A,1000000,Foreign Small/Mid Growth,Wesley K.-S. Phoa
American Century One Choice Blend+ 2055 Portfolio R6 Class,1000000,Foreign Large Blend,Scott A. Wilson
American Century One Choice Blend+ 2065 Portfolio Investor Class,1000000,Long-Short Equity,Scott A. Wilson
Invesco Select Risk: Growth Investor Fund Class R6,1000000,Foreign Large Blend,Jeffrey Bennett
American Century One Choice Blend+ 2030 Portfolio I Class,1000000,Systematic Trend,Scott A. Wilson
American Funds 2045 Target Date Retirement Fund Class A,1000000,Equity Market Neutral,Wesley K.-S. Phoa
Thrivent Opportunity Income Plus Fund Class A,1000000,Mid-Cap Value,Conrad E. Smith
American Beacon International Equity Fund Advisor Class,1000000,Multistrategy,Alvin L. Polit
Absolute Capital Asset Allocator Fund Institutional Class,1000000,Tactical Allocation,Phillip Brenden Gebben
American Funds 2060 Target Date Retirement Fund Class A,1000000,Multistrategy,Michelle J. Black
Cavanal Hill Limited Duration Fund Class A,1000000,Small Blend,Russell P. Knox
Cavanal Hill Ultra Short Tax-Free Income Fund Class A,1000000,Multistrategy,Richard A. Williams
AB Municipal Income Fund II Arizona Portfolio Advisor Class,1000000,Diversified Emerging Mkts,Terrance T. Hults
Columbia Capital Allocation Conservative Portfolio Class A,1000000,Foreign Small/Mid Value,Anwiti Bahuguna
American Century Government Bond Fund I Class,1000000,Real Estate,Peter Van Gelderen
AB Bond Inflation Strategy Class R,1000000,Foreign Small/Mid Growth,Janaki Rao
AB Bond Inflation Strategy Advisor Class,1000000,Foreign Small/Mid Growth,Janaki Rao
AB All Market Total Return Portfolio Advisor Class,1000000,Allocation--50% to 70% Equity,Daniel J. Loewy
AB Municipal Income Fund California Portfolio Class C,1000000,World Bond-USD Hedged,Terrance T. Hults
American Century Mid Cap Value Fund C Class,1000000,Emerging Markets Bond,Brian Woglom
American Century Core Plus Fund Investor Class,1000000,Emerging Markets Bond,Robert Gahagan
American Century Investments Focused Dynamic Growth Fund Investor Class,1000000,High Yield Bond,Michael Li
Columbia Acorn International Fund Institutional Class,1000000,World Bond-USD Hedged,Tae Han (Simon) F. Kim
AB Intermediate California Municipal Portfolio Class C,1000000,Large Value,Terrance T. Hults
Absolute Capital Defender Fund Investor Class,1000000,Intermediate Core Bond,Phillip Brenden Gebben
Invesco Comstock Fund Class Y,1000000,Large Blend,Kevin C. Holt
Invesco Comstock Fund Class R,1000000,Muni New York Intermediate,Kevin C. Holt
Columbia Dividend Opportunity Fund Class C,1000000,Muni National Interm,David L. King
American Century Disciplined Growth Fund Class C,1000000,Mid-Cap Blend,Tsuyoshi Ozaki
American Century Disciplined Growth Fund Investor Class,1000000,Diversified Emerging Mkts,Tsuyoshi Ozaki
American Century Emerging Markets Small Cap Fund R6 Class,1000000,Real Estate,Patricia Ribeiro
Invesco European Growth Fund Class A,1000000,Large Value,Clas T. Olsson
American Century Equity Growth Fund C Class,1000000,Mid-Cap Growth,Steven Rossi
Applied Finance Core Fund Investor Class,1000000,Diversified Emerging Mkts,Paul Blinn
American Century Sustainable Equity Fund Y Class,1000000,Financial,Joseph M. Reiland
American Century Global Bond Fund R6 Class,1000000,,John A. Lovito
American Century Global Bond Fund R5 Class,1000000,World Large-Stock Blend,John A. Lovito
American Century Global Bond Fund R Class,1000000,High Yield Bond,John A. Lovito
Water Island Credit Opportunities Fund Class A,1000000,Infrastructure,Gregory A. Loprete
Invesco Global Growth Fund Class R6,1000000,Large Growth,Matthew Dennis
American Century Global Gold Fund R Class,1000000,Infrastructure,Guan Wang
Virtus AllianzGI Global Dynamic Allocation Fund Class P,1000000,High Yield Muni,Claudio Marsala
Invesco Income Fund Class R6,1000000,Intermediate Core Bond,Clint P. Dudley
Invesco Income Fund Class Y,1000000,Intermediate Core Bond,Clint P. Dudley
American Century NT High Income Fund G Class,1000000,Foreign Large Blend,Amy Yu Chang
American Century High Income Fund Investor Class,1000000,Technology,Stephen Owen Kotsen
Cavanal Hill Bond Fund Institutional Class,1000000,Foreign Small/Mid Growth,Russell P. Knox
AQR International Momentum Style Fund Class I,1000000,Japan Stock,Ronen N. Israel
American Century Inflation Adjusted Bond Fund C Class,1000000,Large Blend,Robert Gahagan
American Century International Opportunities Fund Investor Class,1000000,Latin America Stock,Trevor D. Gurwich
Invesco Limited Term Municipal Income Fund Class A2,1000000,High Yield Bond,James Phillips
American Funds International Vantage Fund Class F-2,1000000,Emerging Markets Bond,Gregory Fuss
American Funds International Vantage Fund Class F-3,1000000,Diversified Emerging Mkts,Gregory Fuss
AB International Value Fund Class I,1000000,Diversified Emerging Mkts,Avi Lavi
Aberdeen Emerging Markets Debt Fund Class C,1000000,Foreign Large Blend,Brett Diment
Aberdeen Emerging Markets Debt Fund Institutional Service Class,1000000,Foreign Large Blend,Brett Diment
ALPS/Smith Balanced Opportunity Fund Class A,1000000,Small Blend,Eric Hewitt
Invesco Income Allocation Fund Class Y,1000000,World Large-Stock Blend,Jeffrey Bennett
Alger Growth & Income Fund Class C,1000000,Large Blend,Gregory S. Adams
AB Municipal Income Fund California Portfolio Class A,1000000,Large Blend,Terrance T. Hults
American Century Disciplined Core Value Fund Class A,1000000,Mid-Cap Growth,Steven Rossi
AB Municipal Income Fund II Massachusetts Portfolio Advisor Class,1000000,Multistrategy,Terrance T. Hults
AB All Market Real Return Portfolio Class A,1000000,Muni National Long,Daniel J. Loewy
Columbia Capital Allocation Moderate Portfolio Class C,1000000,World Large-Stock Blend,Anwiti Bahuguna
AB All Market Real Return Portfolio Class K,1000000,Small Value,Daniel J. Loewy
AB Global Bond Fund Class A,1000000,Nontraditional Bond,John Taylor
AB Global Bond Fund Class I,1000000,Nontraditional Bond,John Taylor
AB Global Bond Fund Class R,1000000,,John Taylor
American Funds Strategic Bond Fund Class A,1000000,Small Growth,Ritchie A. Tuazon
Virtus AllianzGI Convertible Fund Class P,1000000,Foreign Large Blend,Douglas G. Forsyth
AQR International Defensive Style Fund Class I,1000000,Bank Loan,Andrea Frazzini
AQR International Defensive Style Fund Class R6,1000000,World Bond,Andrea Frazzini
Virtus NFJ Dividend Value Fund Class R6,1000000,Long-Term Bond,R. Burns McKinney
Angel Oak Financials Income Fund Institutional Class,1000000,Small Blend,Kevin Parks
Virtus NFJ Small-Cap Value Fund Class R6,1000000,Mid-Cap Value,Paul Magnuson
Angel Oak Multi-Strategy Income Fund A Shares,1000000,High Yield Bond,Sreeniwas (Sreeni) Prabhu
American Century Small Cap Growth Fund C Class,1000000,Mid-Cap Growth,Jackie Wagner
American Century Small Cap Growth Fund R6 Class,1000000,Mid-Cap Growth,Jackie Wagner
American Century Non-U.S. IntrinsicValue Fund A Class,1000000,Inflation-Protected Bond,Alvin L. Polit
American Funds New Perspective Fund Class F-2,1000000,Global Real Estate,Andraz F. Razen
American Century Investments One Choice Portfolio: Very Conservative Investor Class,1000000,Real Estate,Radu L. Gabudean
Artisan International Value Fund Advisor Class,1000000,Small Growth,N. David Samra
Artisan Global Opportunities Fund Advisor Class,1000000,Large Blend,James D. Hamel
Artisan Focus Fund Advisor Shares,1000000,Short-Term Bond,Christopher P. Smith
AB Large Cap Growth Fund Class A,1000000,Small Value,John Fogarty
AB Large Cap Growth Fund Advisor Class,1000000,Diversified Emerging Mkts,John Fogarty
Artisan Value Fund Institutional Class,1000000,Bank Loan,Thomas A Reynolds
Yorktown Master Allocation Fund Class L,1000000,Foreign Large Blend,David Basten
Yorktown Master Allocation Fund Class Institutional,1000000,Mid-Cap Blend,David Basten
AAM/Phocas Real Estate Fund Class A Shares,1000000,Natural Resources,James F. K. Murray
Cavanal Hill Limited Duration Fund Investor Class,1000000,Small Value,Russell P. Knox
Cavanal Hill Ultra Short Tax-Free Income Fund Investor,1000000,Intermediate Core-Plus Bond,Richard A. Williams
AB Conservative Wealth Strategy Class I,1000000,Multisector Bond,Daniel J. Loewy
Columbia Disciplined Core Fund Class A,1000000,Mid-Cap Growth,Raghavendran Sivaraman
LKCM Aquinas Catholic Equity Fund,1000000,Muni National Long,Paul W. Greenwell
AQR International Equity Fund Class I,1000000,Mid-Cap Value,Lars S. Nielsen
AQR International Equity Fund Class N,1000000,Small Growth,Lars S. Nielsen
Alta Quality Growth Fund Institutional Shares,1000000,High Yield Bond,Tyler O. Partridge
American Century Investments One Choice 2040 Portfolio R Class,1000000,Small Blend,Radu Gabudean
American Century Investments One Choice 2060 Portfolio A Class,1000000,Small Growth,John Donner
American Century Ultra Fund R6 Class,1000000,Ultrashort Bond,Jeffrey Bourke
American Century Ultra Fund R Class,1000000,Ultrashort Bond,Jeffrey Bourke
AB Municipal Bond Inflation Strategy Advisor Class,1000000,Large Blend,Andrew D. Potter
AB Select US Equity Portfolio Class R,1000000,Large Value,Kurt Feuerman
American Beacon Small Cap Value Fund Class R5,1000000,Large Blend,Judd S. Peters
AB Wealth Appreciation Strategy Class C,1000000,Ultrashort Bond,Nelson Yu
AB Sustainable International Thematic Fund Class K,1000000,World Allocation,William Johnston
Virtus AllianzGI Water Fund Class P,1000000,Foreign Large Value,Andreas Fruschki
CIBC Atlas Equity Income Fund Institutional Class,1000000,Foreign Large Value,Robert C. Bridges
Acclivity Mid Cap Multi-Style Fund Class I,1000000,Large Growth,Sheridan S. Titman
Virtus AllianzGI High Yield Bond Fund Institutional Class,1000000,Small Growth,David J. Oberto
Virtus AllianzGI High Yield Bond Fund Class P,1000000,Large Blend,David J. Oberto
Virtus AllianzGI Small-Cap Fund Institutional Class,1000000,Short-Term Bond,Kunal W. Ghosh
Virtus NFJ Emerging Markets Value Fund Class A,1000000,Long-Short Equity,J. Garth Reilly
Virtus NFJ Emerging Markets Value Fund Class C,1000000,Muni National Interm,J. Garth Reilly
BlackRock 80/20 Target Allocation Fund Class A,1000000,Intermediate Core Bond,Lisa O'Connor
BMO Growth Allocation Fund Class Y,1000000,Corporate Bond,Jon D. Adams
BlackRock Emerging Markets Flexible Dynamic Bond Portfolio Investor A Shares,1000000,High Yield Bond,Michal Wozniak
American Funds American Balanced Fund Class C,1000000,Large Value,Paul R. Benjamin
BlackRock 40/60 Target Allocation Fund Investor A Shares,1000000,Small Blend,Lisa O'Connor
iShares Developed Real Estate Index Fund Investor A Shares,1000000,,Alan Mason
Baron Asset Fund Class R6,1000000,Mid-Cap Blend,Andrew Peck
BBH Global Core Select Fund Class N Shares,1000000,Mid-Cap Blend,Regina K. Lombardi
Sterling Capital Intermediate U.S. Government Fund Institutional Shares,1000000,Intermediate Core Bond,Neil T. Grant
BBH Select Series - Large Cap Fund,1000000,Muni Single State Short,Michael R. Keller
Sterling Capital Short Duration Bond Fund Class C,1000000,Small Value,Mark M. Montgomery
BlackRock Short Obligations Fund Class K,1000000,Small Value,Richard Mejzak
Brown Capital Management International Equity Fund Institutional Shares,1000000,Large Growth,Duncan Evered
BlackRock 40/60 Target Allocation Fund Investor C Shares,1000000,High Yield Muni,Lisa O'Connor
Brown Capital Management International Small Company Fund Institutional Shares,1000000,Inflation-Protected Bond,Daniel L. Boston
Baron Durable Advantage Fund Retail Shares,1000000,Multisector Bond,Alex Umansky
iShares Russell 2000 Small-Cap Index Fund Class K,1000000,Muni National Interm,Jennifer Hsui
BlackRock Advantage Small Cap Core Fund Investor A Shares,1000000,Large Growth,Travis Cooke
BlackRock Total Emerging Markets Fund Institutional,1000000,Diversified Emerging Mkts,Jeff Shen
Boston Partners Emerging Markets Dynamic Equity Fund Institutional Class,1000000,Large Blend,David Kim
Brandes Emerging Markets Value Fund Class C,1000000,Emerging Markets Bond,Mauricio Abadia
Brandes Emerging Markets Value Fund Class R6,1000000,Ultrashort Bond,Mauricio Abadia
American Century Equity Growth Fund A Class,1000000,Nontraditional Bond,Steven Rossi
American Funds The Bond Fund of America Class F-3,1000000,Mid-Cap Growth,David Hoag
Baron Fifth Avenue Growth Fund Retail Class,1000000,Muni Single State Short,Alex Umansky
Baron Fifth Avenue Growth Fund Institutional Class,1000000,World Small/Mid Stock,Alex Umansky
Baillie Gifford Global Alpha Equities Fund Class 2,1000000,Bank Loan,Spencer Adair
Baillie Gifford Emerging Markets Equities Fund Class 5,1000000,Bank Loan,Ben Durrant
Baillie Gifford Emerging Markets Equities Fund Class 2,1000000,Muni National Short,Ben Durrant
Baillie Gifford Emerging Markets Equities Fund Class 3,1000000,Large Value,Ben Durrant
Baillie Gifford International Growth Fund Class 5,1000000,Equity Precious Metals,Thomas K. Coutts
Baillie Gifford The U.S. Equity Growth Fund Class I,1000000,Large Growth,Tom Slater
Baron Global Advantage Fund R6 Shares,1000000,World Allocation,Alex Umansky
Baillie Gifford Developed EAFE All Cap Fund Class 3,1000000,World Large-Stock Blend,Gerard M. Callahan
